Number,Short description,Assignment group,Issue Tag,Codes,TICKET_PROBLEM_TKTNOTE_ORIG,traincolumn
INC0004037377,oracle: request set made oracle,IGS Oracle Support,,7,Oracle: How can a request set be made for Oracle, oracle request set made oracle
INC0004038552,sap : sps : sap brp application : web channel,SAP App CRM Run  (NTT Data),Order/Doc Stuck Failure,17,SAP : SPS : SAP BRP Application : Web Channel, sap sps sap brp application web channel
INC0004041392,job brp-c-cpsrcem04003-zneuot1 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSRCEM04003-ZNEUOT1 FAILURE Code 1 , job brp c cpsrcem04003 zneuot1 failure code nembor
INC0004038913,job erp-c-hcc-bas-sap-reorg-jobs #nembor# failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-REORG-JOBS-2 FAILURE Code 16 , job erp c hcc bas sap reorg jobs nembor failure code nembor
INC0004035542,"supply chain , medium,aero,e563310",SAP App FICO Run (NTT Data),,21,"SUPPLY CHAIN , MEDIUM,AERO,E563310", supply chain medium aero e563310
INC0004038398,sap application: printer functionality,SAP Basis Support (Hon),Hardware Failures,38,SAP Application: Printer functionality, sap application printer functionality
INC0004038035,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035730,sap : pmt : elster c11 sap application : inventory / warehousing,SAP App Logistics Run (NTT Data),,26,SAP : PMT : Elster C11 SAP Application : Inventory / Warehousing, sap pmt elster c11 sap application inventory warehousing
INC0004038911,job erp-c-hcc-bas-sap-collector-for-jobstatistic failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-JOBSTATISTIC FAILURE Code 5 , job erp c hcc bas sap collector for jobstatistic failure code nembor
INC0004039665,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039420,"human resourcea , medium , <<hbt>> , e567207",SAP App HR Run (NTT Data),,25,"HUMAN RESOURCEA , MEDIUM , <<HBT>> , E567207", human resourcea medium hbt e56 20
INC0004039687,job erp-c-hcc-bas-sap-ccms-moni-batch-dp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-CCMS-MONI-BATCH-DP FAILURE Code 5 , job erp c hcc bas sap ccms moni batch dp failure code nembor
INC0004035581,invoice system,SAP App FICO Run (NTT Data),Invoice Issues,21,Invoice system, invoice system
INC0004036521,sap : hbt : application module issue : logistics,SAP App Logistics Run (NTT Data),,26,SAP : HBT : Application or Module issue : Logistics, sap hbt application module issue logistics
INC0004038520,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035626,po a000216608 conf control,SAP App Sourcing Run (NTT Data),,34,po A000216608 Conf control , po a000216608 conf control
INC0004041402,pmt/p11/prod/user access/sap : pmt : access security issue : elster emea p11; grc #nembor#,SAP Security (TCS),Access Request,42,PMT/P11/PROD/User Access/SAP : PMT : Access or Security Issue : Elster EMEA P11; GRC#9000160169 , pmt p11 prod user access sap pmt access security issue elster emea p11 grc nembor
INC0004038636,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038749,"market , medium,aero,e297758",SAP Aftermarket Configuration Mgmt (ACM) RUN,,10,"AFTER MARKET , MEDIUM,AERO,E297758", market medium aero e2 58
INC0004038831,job bwp-c-cpsbiem046501 failure code #nembor#,Analytics Batch Run (NTT Data),Job Failure,0,JOB BWP-C-CPSBIEM046501 FAILURE Code 1 , job bwp c cpsbiem046501 failure code nembor
INC0004039876,job brp-c-cpsfina0000mufginv13 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFINA0000MUFGINV13 FAILURE Code 1 , job brp c cpsfina0000mufginv13 failure code nembor
INC0004038603,job brp-c-cpsfiem00000bankclr106 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFIEM00000BANKCLR106 FAILURE Code 1 , job brp c cpsfiem00000bankclr106 failure code nembor
INC0004038876,job brp-c-cpsrdem04850hellt231 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSRDEM04850HELLT231 FAILURE Code 1 , job brp c cpsrdem04850hellt231 failure code nembor
INC0004038261,job erp-c-hts-fi #nembor#c-inf002-fi-apprtrvlreq failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-FI-373C-INF002-FI-APPRTRVLREQ FAILURE Code 16 , job erp c hts fi nembor c inf002 fi apprtrvlreq failure code nembor
INC0004038266,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040458,sap : erp900 password reset,Service Desk (APAC:GBL),Account Locked/Password Reset,44,SAP : ERP900 password reset, sap erp 00 password reset
INC0004036063,sap : pmt : elster c11 sap application : finance,SAP Basis Support (Hon),,38,SAP : PMT : Elster C11 SAP Application : Finance, sap pmt elster c11 sap application finance
INC0004035671,tss_hra_prod down - #nembor# #nembor# #nembor#,Analytics OBIEE Run (NTT Data),,1,tss_hra_prod Down - 01/09/2020, tss hra prod down nembor nembor nembor
INC0004040426,#wfh sap shipment/logistic issue,SAP App Logistics Run (NTT Data),,26,#wfh SAP shipment/logistic issue, wfh sap shipment logistic issue
INC0004038302,hbt : analytics : sap bw - brp : application issue,SAP App Logistics Run (NTT Data),,26,HBT : Analytics : SAP BW - BRP  : Application Issue, hbt analytics sap bw brp application issue
INC0004039371,job brp-c-cpsrpna02000pim01 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSRPNA02000PIM01 FAILURE Code 1 , job brp c cpsrpna02000pim01 failure code nembor
INC0004039098,sap timesheet: approval reminder,SAP App Time Labor Capture Run (NTT Data),,37,SAP Timesheet: Approval reminder, sap timesheet approval reminder
INC0004035769,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004035102,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004041237,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004040955,job urp_c-payroll #nembor# #nembor# failure code #nembor#,SAP App Batch Run - PMT (NTT Data),Job Failure,15,JOB URP_C-PAYROLL-2000-2 FAILURE Code 2 , job urp c payroll nembor nembor failure code nembor
INC0004039702,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038241,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039408,sap : issue acs_otfp_po,Analytics SAPHANA Run (NTT Data),,3,SAP : Issue for ACS_OTFP_PO, sap issue acs otfp po
INC0004036563,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004037064,analytics: pmt batch failure,Analytics Batch Run (NTT Data),,0,Analytics: PMT BATCH Failure , analytics pmt batch failure
INC0004036986,sap : sps : sap brp application : crm,SAP App CRM Run  (NTT Data),,17,SAP : SPS : SAP BRP Application : CRM, sap sps sap brp application crm
INC0004040179,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004037866,sap : hbt : password reset :,Service Desk (CANLA:GBL),Account Locked/Password Reset,45,SAP : HBT : Password Reset : , sap hbt password reset
INC0004036093,sap:related issue.,SAP App APO Manufacturing Run (NTT Data),,11,SAP:Related issue., sap related issue
INC0004037351,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004036843,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038879,job erp-c-hcc-bas-sap-sld-data-collect failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SLD-DATA-COLLECT FAILURE Code 5 , job erp c hcc bas sap sld data collect failure code nembor
INC0004038224,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004039648,job erp-c-cga-zfi-ivalua-pts-invoice alarm maxrunalarm code,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-ZFI-IVALUA-PTS-INVOICE ALARM  MAXRUNALARM Code  , job erp c cga zfi ivalua pts invoice alarm maxrunalarm code
INC0004038739,"supply chain , medium,aero,e147477",SAP App Logistics Run (NTT Data),,26,"SUPPLY CHAIN , MEDIUM,AERO,E147477", supply chain medium aero e14 4
INC0004039323,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039863,urgent request ticket: pos pending commitment first floor office space ar,SAP App Sourcing Run (NTT Data),,34,URGENT request for Ticket: POs with pending commitment in first floor office space AR, urgent request ticket pos pending commitment first floor office space ar
INC0004037552,job erp-c-hts-ps #nembor#c-enh016-ps-zpssetco alarm maxrunalarm code,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-PS-385C-ENH016-PS-ZPSSETCO ALARM  MAXRUNALARM Code  , job erp c hts ps nembor c enh016 ps zpssetco alarm maxrunalarm code
INC0004038891,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040032,job brp-c-cpsfina00fagll03pc01 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFINA00FAGLL03PC01 FAILURE Code 1001 , job brp c cpsfina00fagll03pc01 failure code nembor
INC0004039056,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004040506,sap hbt: user access brp brv - client #nembor#_grc #nembor#,Service Desk (EMEA:GBL),Access Request,46,SAP HBT: User Access to BRP and BRV - Client 900_GRC_9000156185, sap hbt user access brp brv client nembor grc nembor
INC0004038838,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039022,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004039091,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004037180,job erp-c-hts-fi-zmmr_service_tax_exception failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-FI-ZMMR_SERVICE_TAX_EXCEPTION FAILURE Code 2 , job erp c hts fi zmmr service tax exception failure code nembor
INC0004040355,"order managementp , low,pmt,h378029",SAP App Order Mgmt Run (NTT Data),,28,"ORDER MANAGEMENTP , LOW,PMT,H378029", order managementp low pmt h3 802
INC0004037045,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040501,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004034966,sharepoint query,SAP App FICO Run (NTT Data),,21,SharePoint Query, sharepoint query
INC0004040702,sap : corp : password reset :,SAP Password Reset (DXC),Account Locked/Password Reset,40,SAP : CORP : Password Reset : , sap corp password reset
INC0004038321,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038324,sap : aero : application module issue : aftermarket / customer service,SAP App CS Run (NTT Data),Duplicate UID,18,SAP : AERO : Application or Module issue : Aftermarket / Customer Service, sap aero application module issue aftermarket customer service
INC0004036792,sap : aero : application module issue : aftermarket / customer service,SAP App CS Run (NTT Data),,18,SAP : AERO : Application or Module issue : Aftermarket / Customer Service, sap aero application module issue aftermarket customer service
INC0004038347,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038748,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039349,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039011,"supply chaina , medium , <<sps>> , e830499",SAP App Sourcing Run (NTT Data),,34,"SUPPLY CHAINA , MEDIUM , <<SPS>> , E830499", supply chaina medium sps e8304
INC0004037119,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004035902,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004040165,"supply chaina , medium , <<sps>> , e830499",SAP App Logistics Run (NTT Data),,26,"SUPPLY CHAINA , MEDIUM , <<SPS>> , E830499", supply chaina medium sps e8304
INC0004035334,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040187,sap : hbt : application module issue : project systems,SAP App PS Project Systems Run (NTT Data),,29,SAP : HBT : Application or Module issue : Project Systems, sap hbt application module issue project systems
INC0004035931,sap : remove employees twb,SAP App Time Labor Capture Run (NTT Data),,37,SAP : Remove Employees from TWB, sap remove employees twb
INC0004034941,ctpat survey lid-pmt-hps-fr3t-em-fr,SAP App GRC Run (NTT Data),,22,CTPAT survey for LID-PMT-HPS-FR3T-EM-FR, ctpat survey lid pmt hps fr3t em fr
INC0004041149,job erp-c-hcc-bas-sap-ccms-moni-batch-dp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-CCMS-MONI-BATCH-DP FAILURE Code 5 , job erp c hcc bas sap ccms moni batch dp failure code nembor
INC0004038186,"hr payroll , low,aero,h366051",SAP App Time Labor Capture Run (NTT Data),,37,"HR PAYROLL , LOW,AERO,H366051", hr payroll low aero h366051
INC0004040148,"finance controllinga , medium , <<hbt>> , h356055",SAP App FICO Run (NTT Data),Invoice Issues,21,"FINANCE AND CONTROLLINGA , MEDIUM , <<HBT>> , H356055", finance controllinga medium hbt h356055
INC0004036190,brp900 issue # project report - zfi_z12kst1g # rup #nembor# #nembor# vs. z7),SAP App FICO Run (NTT Data),,21,BRP900 issue # Project Report - ZFI_Z12KST1G # RUP-842 (0 vs. Z7), brp 00 issue project report zfi z12kst1g rup nembor nembor vs z
INC0004037791,sps : oracle application : intelligrated : application issue,IGS Oracle Support,,7,SPS : Oracle Application : INTELLIGRATED  : Application Issue, sps oracle application intelligrated application issue
INC0004039208,job brp-c-cpsocem20090bor52 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSOCEM20090BOR52 FAILURE Code 1 , job brp c cpsocem200 0bor52 failure code nembor
INC0004036706,sap : hbt : application module issue : sourcing,SAP App Sourcing Run (NTT Data),,34,SAP : HBT : Application or Module issue : Sourcing, sap hbt application module issue sourcing
INC0004039085,job erp-c-hcc-bas-eu-reorg failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-EU-REORG FAILURE Code 5 , job erp c hcc bas eu reorg failure code nembor
INC0004038683,sap : aero : application module issue : manufacturing/ planning & scheduling,SAP App Manufacturing Run (NTT Data),,27,SAP : AERO : Application or Module issue : Manufacturing/ Planning & Scheduling, sap aero application module issue manufacturing planning scheduling
INC0004039504,"#wfh sap - time sheet holiday list issue hbt, brp, leave management system",SAP App HR Run (NTT Data),Leaves Issue,25,"#wfh SAP - Time sheet  Holiday list issue   HBT,  BRP, leave management system", wfh sap time sheet holiday list issue hbt brp leave management system
INC0004036600,job erp-c-hts-hr #nembor#c-hr-ssicb #nembor#-zhrtaskgrp3 failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-HR-289C-HR-SSICB-13971-ZHRTASKGRP3 FAILURE Code 16 , job erp c hts hr nembor c hr ssicb nembor zhrtaskgrp3 failure code nembor
INC0004041211,sap : hbt : application module issue : finance,SAP App FICO Run (NTT Data),,21,SAP : HBT : Application or Module issue : Finance, sap hbt application module issue finance
INC0004039143,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004038964,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004036805,sap : aero : password reset :,SAP Password Reset (DXC),Account Locked/Password Reset,40,SAP : AERO : Password Reset : , sap aero password reset
INC0004036570,changing shipping instructions on sap,SAP App Configuration (NTT Data),,19, Changing shipping instructions on SAP, changing shipping instructions on sap
INC0004037243,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004036079,sap : hbt : application module issue : order management,SAP App Sourcing Run (NTT Data),,34,SAP : HBT : Application or Module issue : Order Management, sap hbt application module issue order management
INC0004035443,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040493,sap : pmt : pmt sap application : finance,SAP App FICO Run (NTT Data),Auto Billing Failure,21,SAP : PMT : PMT SAP Application : Finance, sap pmt pmt sap application finance
INC0004040045,job brp-c-cpsfiap0invlist119201 failure code #nembor#,SAP App Batch Run - HBT/SPS (NTT Data),Job Failure,14,JOB BRP-C-CPSFIAP0INVLIST119201 FAILURE Code 1001 , job brp c cpsfiap0invlist11 201 failure code nembor
INC0004035847,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004037031,sap : sps : sap brp application : crm,SAP App Order Mgmt Run (NTT Data),Access Request,28,SAP : SPS : SAP BRP Application : CRM, sap sps sap brp application crm
INC0004035299,job bwp-c-cpsbina049201 failure code #nembor#,Analytics Batch Run (NTT Data),Job Failure,0,JOB BWP-C-CPSBINA049201 FAILURE Code 1 , job bwp c cpsbina04 201 failure code nembor
INC0004037764,job bwp-c-cpsbiap032222 failure code #nembor#,Analytics Batch Run (NTT Data),Job Failure,0,JOB BWP-C-CPSBIAP032222 FAILURE Code 1 , job bwp c cpsbiap032222 failure code nembor
INC0004035672,sap : hps production - materials not available,SAP App Order Mgmt Run (NTT Data),,28,SAP : HPS Production - Materials are not available, sap hps production materials not available
INC0004037786,sap : hbt : application module issue : apo,SAP App APO Manufacturing Run (NTT Data),,11,SAP : HBT : Application or Module issue : APO, sap hbt application module issue apo
INC0004038966,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040502,sps : oracle application : intelligrated : application issue,IGS Oracle Support,,7,SPS : Oracle Application : INTELLIGRATED  : Application Issue, sps oracle application intelligrated application issue
INC0004036702,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039551,sap : pmt : elster c11 sap application : mrp / planning & scheduling,SAP App Manufacturing Run (NTT Data),,27,SAP : PMT : Elster C11 SAP Application : MRP / Planning & Scheduling, sap pmt elster c11 sap application mrp planning scheduling
INC0004040552,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004039055,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004036900,sps : oracle application : intelligrated : application issue,IGS Oracle Support,Access Request,7,SPS : Oracle Application : INTELLIGRATED  : Application Issue, sps oracle application intelligrated application issue
INC0004037269,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040973,"ciorp/erp/prod : finance controllingc , medium,corp,h160948",SAP Security (TCS),Access Request,42,"CIORP/ERP/PROD : FINANCE AND CONTROLLINGC , MEDIUM,CORP,H160948", ciorp erp prod finance controllingc medium corp h160 48
INC0004036365,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040543,job bwp-c-cpsbina048501 failure code #nembor#,Analytics Batch Run (NTT Data),Job Failure,0,JOB BWP-C-CPSBINA048501 FAILURE Code 1 , job bwp c cpsbina048501 failure code nembor
INC0004035868,sap : leave application ramya b / h300947,SAP App HR Run (NTT Data),Leaves Issue,25,SAP :  Leave application by Ramya B S / H300947, sap leave application ramya b h300 4
INC0004037405,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
